num_samples	omega_hat_bias_x0	omega_err_bias_x0	omega_hat_bias_x1	omega_err_bias_x1	omega_hat_bias_x2	omega_err_bias_x2	omega_hat_log_area_x0	omega_err_log_area_x0	omega_hat_log_area_x1	omega_err_log_area_x1	omega_hat_log_area_x2	omega_err_log_area_x2	omega_hat_log_perimeter_x0	omega_err_log_perimeter_x0	omega_hat_log_perimeter_x1	omega_err_log_perimeter_x1	omega_hat_log_perimeter_x2	omega_err_log_perimeter_x2	omega_hat_circularity_x0	omega_err_circularity_x0	omega_hat_circularity_x1	omega_err_circularity_x1	omega_hat_circularity_x2	omega_err_circularity_x2
1	6.721013869311713	0.2210138693117134	-13.442759940177275	-8.942759940177275	6.721746070859477	37.721746070859474	-4.913913025624433	-3.5139130256244333	-6.297909415121398	-6.397909415121398	11.211822440753878	8.811822440753877	5.463400306964385	6.363400306964385	10.56046296034178	9.56046296034178	-16.02386326729823	-17.82386326729823	-4.334060676336593	-7.134060676336593	3.9507835850366995	6.4507835850366995	0.3832770912950834	-1.1167229087049166
2	4.606015401486296	-1.893984598513704	-15.987407136320725	-11.487407136320725	11.38139173485636	42.38139173485636	-3.4285462874872485	-2.0285462874872486	-3.0096275104032713	-3.1096275104032713	6.438173797890403	4.038173797890403	3.7997324175756244	4.699732417575625	6.606532893599506	5.606532893599506	-10.406265311173946	-12.206265311173947	-2.762124605305735	-5.562124605305735	6.573241651038415	9.073241651038416	-3.8111170457324532	-5.311117045732454
3	3.7130140483147214	-2.7869859516852786	-17.31114157618522	-12.811141576185221	13.598127527894556	44.598127527894555	-3.6981050542197367	-2.2981050542197368	-2.9833479486470478	-3.083347948647048	6.681453002853837	4.281453002853837	4.322411925987246	5.222411925987246	6.812024894925674	5.812024894925674	-11.134436820924568	-12.934436820924569	-2.7070207557266808	-5.50702075572668	6.984862613502508	9.484862613502507	-4.277841857781117	-5.777841857781117
4	3.9167243689876954	-2.5832756310123046	-8.922978939328967	-4.422978939328967	5.006254570344079	36.006254570344076	-3.691398880455119	-2.291398880455119	-0.6492343280012294	-0.7492343280012294	4.340633208467619	1.9406332084676188	4.236928057447752	5.1369280574477525	2.5530515188636014	1.5530515188636014	-6.789979576301766	-8.589979576301767	-2.280461322402791	-5.08046132240279	1.1961162815686859	3.6961162815686857	1.0843450408359436	-0.41565495916405637
5	6.341843853613247	-0.15815614638675335	-9.679577538804505	-5.179577538804505	3.337733685189334	34.337733685189335	-3.1389934516687483	-1.7389934516687484	-1.1716284638150036	-1.2716284638150037	4.310621915488691	1.9106219154886914	3.19702065083109	4.09702065083109	3.421208419268204	2.421208419268204	-6.618229070091524	-8.418229070091524	-3.667834818818371	-6.467834818818371	0.6221128348726952	3.122112834872695	3.0457219839485723	1.5457219839485723
6	-0.5051596301726909	-7.005159630172691	-6.727411002885764	-2.2274110028857637	7.232570633053009	38.23257063305301	-4.506862914609646	-3.106862914609646	-0.392680131041603	-0.492680131041603	4.899543045640152	2.4995430456401517	5.917216443812384	6.817216443812384	2.0195035547754494	1.0195035547754494	-7.936719998588775	-9.736719998588775	1.8373079795441738	-0.962692020455826	-1.9871780831057766	0.5128219168942234	0.14987010355139063	-1.3501298964486095
7	-0.6075604858553285	-7.107560485855329	-9.293534006328713	-4.793534006328713	9.901094492108124	40.90109449210812	-4.653860898328406	-3.2538608983284063	-1.1650111571491364	-1.2650111571491365	5.81887205543806	3.4188720554380603	6.126182452750226	7.026182452750226	3.471101073108797	2.471101073108797	-9.597283525873415	-11.397283525873416	1.9244962798774834	-0.8755037201225164	-1.1147462790617306	1.3852537209382694	-0.8097500007412541	-2.3097500007412544
8	-4.457109408815393	-10.957109408815393	-7.3215131497959005	-2.8215131497959005	11.778622558608769	42.77862255860877	-5.810541657579282	-4.410541657579282	-0.5699033718201553	-0.6699033718201552	6.380445029398606	3.9804450293986062	8.274526804341715	9.174526804341715	2.3598240174210643	1.3598240174210643	-10.634350821766136	-12.434350821766136	3.7846901628986704	0.9846901628986706	-1.931462177109106	0.5685378228908939	-1.8532279857887481	-3.353227985788748
9	-3.6148829709883104	-10.11488297098831	-7.453565960754758	-2.9535659607547577	11.068448931729671	42.06844893172967	-5.738997742801556	-4.338997742801556	-0.6730128274451648	-0.7730128274451648	6.412010570240032	4.012010570240031	8.030747300470036	8.930747300470037	2.5525549433176473	1.5525549433176473	-10.583302243805162	-12.383302243805163	3.676363366757899	0.8763633667578992	-2.3425210177642	0.15747898223580004	-1.3338423489976392	-2.8338423489976394
10	-5.208203108340208	-11.708203108340207	-6.827264644225145	-2.327264644225145	12.035467752559988	43.03546775255999	-6.088430411461666	-4.688430411461667	-0.585257342839889	-0.6852573428398889	6.673687754298196	4.273687754298196	8.699343964068543	9.599343964068543	2.371044645146172	1.371044645146172	-11.070388609212424	-12.870388609212425	5.12581413837007	2.3258141383700703	-3.1343579459153967	-0.6343579459153967	-1.9914561924517398	-3.4914561924517398
11	-5.223837021735518	-11.723837021735518	-6.684571969214541	-2.1845719692145407	11.908408990947823	42.90840899094782	-6.093557029588196	-4.693557029588195	-0.5598046822033557	-0.6598046822033556	6.653361711752352	4.253361711752351	8.708547288913854	9.608547288913854	2.3174471561836008	1.3174471561836008	-11.025994445106882	-12.825994445106883	5.135824365079555	2.3358243650795556	-3.231104085663408	-0.7311040856634081	-1.904720279416778	-3.404720279416778
12	-4.366665904401969	-10.86666590440197	-7.579830536985763	-3.079830536985763	11.946496441396954	42.94649644139695	-6.021246633696954	-4.621246633696954	-0.8040139847928557	-0.9040139847928557	6.825260618491784	4.425260618491784	8.470076731673561	9.370076731673562	2.799137981281358	1.799137981281358	-11.269214712948855	-13.069214712948856	4.816416059714164	2.016416059714164	-3.0163911062233426	-0.5163911062233426	-1.800024953498688	-3.300024953498688
13	-4.370596154871452	-10.870596154871452	-7.482940875443726	-2.9829408754437257	11.85353703035453	42.85353703035453	-6.02366368388725	-4.62366368388725	-0.786244680994681	-0.886244680994681	6.809908364859667	4.4099083648596675	8.473849271783978	9.373849271783978	2.762075010206226	1.762075010206226	-11.23592428200746	-13.03592428200746	4.819816100354359	2.019816100354359	-3.0816243765519014	-0.5816243765519014	-1.7381917237828282	-3.238191723782828
14	-4.267458324945384	-10.767458324945384	-8.779954816512129	-4.279954816512129	13.047413141446455	44.047413141446455	-6.095932625204678	-4.695932625204678	-1.0135815359580533	-1.1135815359580534	7.109514161179776	4.709514161179776	8.574284990568211	9.474284990568211	3.2731344825627766	2.2731344825627766	-11.847419473102704	-13.647419473102705	4.618761828634499	1.818761828634499	-2.595342350489711	-0.09534235048971107	-2.023419478144244	-3.523419478144244
15	-4.263677492317857	-10.763677492317857	-8.7323500856502	-4.2323500856502	12.996027577938918	43.99602757793892	-6.09470534723478	-4.69470534723478	-1.0053852709186244	-1.1053852709186245	7.100090618146056	4.700090618146056	8.5719872242739	9.471987224273901	3.255598937106835	2.255598937106835	-11.827586161388089	-13.62758616138809	4.618773671171806	1.8187736711718063	-2.6271810156711455	-0.12718101567114548	-1.9915926554985783	-3.4915926554985783
