dataset_split,sample_name,region_id,area,perimeter,log_area,log_perimeter,circularity,bbox_min_row,bbox_max_row,bbox_min_col,bbox_max_col,bbox_width,bbox_height,bbox_area,extent,centroid_row,centroid_col
train,sample_0000,1,6560,402,8.788745881938135,5.996452088619021,0.5101073688163422,0,92,0,95,96,93,8928,0.7347670250896058,38.110670731707316,38.74344512195122
train,sample_0000,2,4568,384,8.426830751335846,5.950642552587727,0.3892902355034227,16,107,53,127,75,92,6900,0.6620289855072464,61.456436077057795,95.39076182136603
train,sample_0000,3,561,110,6.329720905522696,4.700480365792417,0.5826226375748343,0,22,96,127,32,23,736,0.7622282608695652,8.409982174688057,112.43137254901961
train,sample_0000,4,41,28,3.713572066704308,3.332204510175204,0.6571698918223546,20,27,122,127,6,8,48,0.8541666666666666,23.829268292682926,124.8780487804878
train,sample_0000,5,79,40,4.3694478524670215,3.6888794541139363,0.6204645490839842,83,91,0,10,11,9,99,0.797979797979798,87.32911392405063,4.291139240506329
train,sample_0000,6,1567,192,7.356918242356021,5.2574953720277815,0.5341661988037333,86,127,0,49,50,42,2100,0.7461904761904762,107.83280153158903,21.385449904275685
train,sample_0000,7,372,102,5.918893854273146,4.624972813284271,0.4493165963611699,75,101,38,59,22,27,594,0.6262626262626263,87.41397849462365,48.545698924731184
train,sample_0000,8,64,40,4.1588830833596715,3.6888794541139363,0.5026548245743669,124,127,20,35,16,4,64,1.0,125.5,27.5
train,sample_0000,9,576,138,6.3561076606958915,4.927253685157205,0.3800792624380846,100,127,41,75,35,28,980,0.5877551020408164,117.06423611111111,57.154513888888886
train,sample_0000,10,72,40,4.276666119016055,3.6888794541139363,0.5654866776461628,96,106,54,62,9,11,99,0.7272727272727273,101.29166666666667,57.666666666666664
train,sample_0000,11,46,34,3.828641396489095,3.5263605246161616,0.5000458894987214,122,127,36,46,11,6,66,0.696969696969697,125.04347826086956,40.130434782608695
train,sample_0000,12,1840,236,7.517520850603031,5.4638318050256105,0.4151486988369161,85,127,66,127,62,43,2666,0.6901725431357839,109.9375,101.44402173913043
train,sample_0000,13,38,30,3.6375861597263857,3.4011973816621555,0.5305800926062761,123,127,76,85,10,5,50,0.76,125.47368421052632,80.07894736842105
train,sample_0001,1,440,92,6.0867747269123065,4.5217885770490405,0.653261232315458,0,21,0,23,24,22,528,0.8333333333333334,8.99090909090909,10.518181818181818
train,sample_0001,2,12827,714,9.45930760329985,6.570882962339584,0.31618301412797495,0,127,0,127,128,128,16384,0.78289794921875,58.491775161768146,59.14149840180868
train,sample_0001,3,187,76,5.231108616854587,4.330733340286331,0.40684059987624055,12,28,16,35,20,17,340,0.55,20.02139037433155,23.79144385026738
train,sample_0001,4,13,18,2.5649493574615367,2.8903717578961645,0.5042062283539175,18,22,0,3,4,5,20,0.65,20.0,1.0769230769230769
train,sample_0001,5,188,64,5.236441962829949,4.1588830833596715,0.5767767762450011,28,47,0,11,12,20,240,0.7833333333333333,38.723404255319146,4.5638297872340425
train,sample_0001,6,118,54,4.770684624465665,3.9889840465642745,0.5085156832971133,37,51,116,127,12,15,180,0.6555555555555556,44.23728813559322,122.57627118644068
train,sample_0001,7,171,70,5.14166355650266,4.248495242049359,0.4385406887868201,49,72,118,127,10,24,240,0.7125,60.228070175438596,123.30994152046783
