image,1,2,3,4,5,6,7,8,9,10
sample_0000,0.000671,0.000610,0.000610,0.000610,0.000305,0.000244,0.000244,0.000244,0.000244,0.000244
sample_0001,0.003418,0.002991,0.002991,0.002869,0.002930,0.002930,0.003052,0.003052,0.002991,0.002869
sample_0002,0.003418,0.003235,0.003296,0.003235,0.003235,0.003235,0.003235,0.003235,0.003235,0.003235
sample_0003,0.005310,0.004761,0.004150,0.004211,0.004211,0.004333,0.004272,0.004150,0.004456,0.004150
sample_0004,0.001465,0.001282,0.001282,0.001282,0.001282,0.001282,0.001282,0.001282,0.001282,0.001282
sample_0005,0.000488,0.000244,0.000366,0.000244,0.000366,0.000305,0.000305,0.000305,0.000305,0.000305
sample_0006,0.000549,0.000488,0.000549,0.000549,0.000549,0.000488,0.000488,0.000549,0.000549,0.000549
sample_0007,0.002197,0.001770,0.001770,0.001831,0.001770,0.001831,0.001831,0.001831,0.001770,0.001831
sample_0008,0.005554,0.004761,0.004761,0.004944,0.005005,0.004761,0.004944,0.005005,0.004700,0.004944
sample_0009,0.004333,0.003845,0.003906,0.003845,0.003967,0.003845,0.003906,0.003906,0.003906,0.003845
