image,1,2,3,4,5,6,7,8,9,10
sample_0000,0.000732,0.000305,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244,0.000244
sample_0001,0.003662,0.003235,0.003235,0.003235,0.003235,0.003235,0.003235,0.003235,0.003235,0.003235
sample_0002,0.003418,0.003235,0.003235,0.003235,0.003235,0.003235,0.003235,0.003235,0.003235,0.003235
sample_0003,0.004517,0.004089,0.004089,0.004089,0.004089,0.004089,0.004089,0.004089,0.004089,0.004089
sample_0004,0.001465,0.001282,0.001282,0.001282,0.001282,0.001282,0.001282,0.001282,0.001282,0.001282
sample_0005,0.000793,0.000305,0.000305,0.000305,0.000305,0.000305,0.000305,0.000305,0.000305,0.000305
sample_0006,0.000549,0.000488,0.000488,0.000488,0.000488,0.000488,0.000488,0.000488,0.000488,0.000488
sample_0007,0.001892,0.001404,0.001404,0.001404,0.001404,0.001404,0.001404,0.001404,0.001404,0.001404
sample_0008,0.006531,0.007202,0.005859,0.005798,0.005798,0.005798,0.005798,0.005798,0.005798,0.005798
sample_0009,0.003723,0.003540,0.003540,0.003540,0.003540,0.003540,0.003540,0.003540,0.003540,0.003540
